category,Accuracy,Precision,Recall,F1-Score,Precision (weighted),Recall (weighted),F1-Score (weighted),AUC-ROC
java_Expand,0.7330677290836654,0.5555555555555556,0.410958904109589,0.47244094488188976,0.7159472656469441,0.7330677290836654,0.7198626386841088,0.7156379867631214
java_Ownership,0.9960159362549801,1.0,0.8571428571428571,0.9230769230769231,0.9960321977396536,0.9960159362549801,0.9958667767188286,1.0
java_Pointer,0.9203187250996016,0.875,0.4375,0.5833333333333334,0.9172331948800543,0.9203187250996016,0.9084425879448431,0.7481449771689497
java_deprecation,0.9840637450199203,1.0,0.7333333333333333,0.8461538461538461,0.9843293492695883,0.9840637450199203,0.9829048383067599,0.8254237288135593
java_rational,0.8844621513944223,0.14285714285714285,0.041666666666666664,0.06451612903225806,0.8327929499799396,0.8844621513944223,0.8548674966594823,0.6312408223201175
java_summary,0.8286852589641435,0.5454545454545454,0.625,0.5825242718446602,0.8388006415894862,0.8286852589641435,0.8330038727732572,0.8455459770114943
java_usage,0.7091633466135459,0.584070796460177,0.717391304347826,0.6439024390243903,0.7281991694629715,0.7091633466135459,0.7137777542208599,0.762031719989062
python_DevelopmentNotes,0.8405797101449275,0.36666666666666664,0.23404255319148937,0.2857142857142857,0.8150034506556245,0.8405797101449275,0.8251919251280909,0.6992003427102671
python_Expand,0.7739130434782608,0.5,0.358974358974359,0.417910447761194,0.7530615315179781,0.7739130434782608,0.7598266098347798,0.6924037261115912
python_Parameters,0.7855072463768116,0.6693548387096774,0.7155172413793104,0.6916666666666667,0.7897118584190609,0.7855072463768116,0.7871755233494365,0.8252898659840386
python_Summary,0.8840579710144928,0.6190476190476191,0.7090909090909091,0.6610169491525424,0.8915759951837657,0.8840579710144928,0.8871774258657089,0.8899059561128526
python_Usage,0.8289855072463768,0.6956521739130435,0.6736842105263158,0.6844919786096256,0.8274044795783927,0.8289855072463768,0.8281237168171317,0.8393473684210526
pharo_Classreferences,0.9547325102880658,0.25,0.1111111111111111,0.15384615384615385,0.9399891523322486,0.9547325102880658,0.9462664811502021,0.9472934472934473
pharo_Collaborators,0.9094650205761317,0.5555555555555556,0.21739130434782608,0.3125,0.8882909500193451,0.9094650205761317,0.8910564076068237,0.81699604743083
pharo_Example,0.8148148148148148,0.8064516129032258,0.7352941176470589,0.7692307692307693,0.8143130227001195,0.8148148148148148,0.8134049989720092,0.8711583924349882
pharo_Intent,0.9547325102880658,0.8333333333333334,0.8064516129032258,0.819672131147541,0.954162561100485,0.9547325102880658,0.9544147211606763,0.9048995739500912
pharo_Keyimplementationpoints,0.8806584362139918,0.6551724137931034,0.5,0.5671641791044776,0.871175379196291,0.8806584362139918,0.8739246693548375,0.8499358151476252
pharo_Keymessages,0.8641975308641975,0.4838709677419355,0.46875,0.47619047619047616,0.8624035376419228,0.8641975308641975,0.8632802565032667,0.8363447867298578
pharo_Responsibilities,0.823045267489712,0.6363636363636364,0.509090909090909,0.5656565656565656,0.8127261823520896,0.823045267489712,0.81572930955647,0.8197292069632495
